 0:17:54.000 -51.11 -51.11 -51.10  0:17:49.000* 2295
 0:18:00.000 -51.11 -51.11 -51.10  0:17:54.000* 2295
 0:18:05.000 -51.11 -51.11 -51.10  0:18:00.000* 2295
 0:18:06.000 -51.11 -54.77 -51.10 16:20:23.000* 2301
 0:18:11.000 -51.11 -51.11 -51.10  0:18:05.000* 2295
 0:18:16.000 -51.11 -51.11 -51.10  0:18:11.000* 2295
 0:18:22.000 -51.11 -51.11 -51.10  0:18:16.000* 2295
 0:18:26.000 -51.11 -51.11 -51.10  0:18:22.000* 2295
 0:18:31.000 -51.11 -51.11 -51.10  0:18:26.000* 2295
 0:18:37.000 -51.11 -51.11 -51.10  0:18:31.000* 2295
 0:18:42.000 -51.11 -50.65 -51.10  0:18:37.000* 2295
 0:18:48.000 -51.11 -51.11 -51.10  0:18:42.000* 2295
 0:18:53.000 -51.11 -51.11 -51.10  0:18:48.000* 2295
 0:18:59.000 -51.11 -51.11 -51.10  0:18:53.000* 2295
 0:19:04.000 -51.11 -51.11 -51.10  0:18:59.000* 2295
 0:19:09.000 -51.11 -51.11 -51.10  0:19:04.000* 2295
 0:19:15.000 -51.11 -51.11 -51.10  0:19:09.000* 2295
 0:19:20.000 -51.11 -51.11 -51.10  0:19:15.000* 2295
 0:19:27.000 -51.11 -51.11 -51.10  0:19:20.000* 2295
 0:19:32.000 -51.11 -51.56 -51.10  0:19:27.000* 2295
 0:19:38.000 -51.11 -50.65 -51.10  0:19:32.000* 2295
 0:19:43.000 -51.11 -51.11 -51.10  0:19:38.000* 2295
 0:19:48.000 -51.11 -51.11 -51.10  0:19:43.000* 2295
 0:19:54.000 -51.11 -51.11 -51.10  0:19:48.000* 2295
 0:19:59.000 -51.11 -51.11 -51.10  0:19:54.000* 2295
 0:20:05.000 -51.11 -51.11 -51.10  0:19:59.000* 2295
 0:20:10.000 -51.11 -51.11 -51.10  0:20:05.000* 2295
 0:20:16.000 -51.11 -51.11 -51.10  0:20:10.000* 2295
 0:20:21.000 -51.11 -50.65 -51.10  0:20:16.000* 2295
 0:20:26.000 -51.11 -50.65 -51.10  0:20:21.000* 2295
 0:20:32.000 -51.11 -51.11 -51.10  0:20:26.000* 2295
 0:20:37.000 -51.11 -51.11 -51.10  0:20:32.000* 2295
 0:20:43.000 -51.11 -50.65 -51.10  0:20:37.000* 2295
 0:20:48.000 -51.11 -51.11 -51.10  0:20:43.000* 2295
 0:20:53.000 -54.77 -51.11 -51.10  8:04:56.000* 2301
 0:20:54.000 -51.11 -51.11 -51.10  0:20:48.000* 2295
 0:20:59.000 -51.11 -50.65 -51.10  0:20:54.000* 2295
 0:21:04.000 -51.11 -51.11 -51.10  0:20:59.000* 2295
 0:21:10.000 -51.11 -50.65 -51.10  0:21:04.000* 2295
 0:21:15.000 -51.11 -51.11 -51.10  0:21:10.000* 2295
 0:21:21.000 -51.11 -51.11 -51.10  0:21:15.000* 2295
 0:21:26.000 -51.11 -51.56 -51.10  0:21:21.000* 2295
 0:21:32.000 -51.11 -50.19 -51.56  0:21:26.000* 2295
 0:21:37.000 -50.65 -51.11 -51.10  0:21:32.000* 2295
 0:21:42.000 -51.11 -51.11 -51.10  0:21:37.000* 2295
 0:21:48.000 -51.11 -50.65 -51.56  0:21:42.000* 2295
 0:21:50.000 -51.11 -51.11 -51.56 16:24:40.000* 2301
 0:21:53.000 -51.11 -50.65 -51.10  0:21:48.000* 2295
 0:21:59.000 -51.11 -50.19 -51.56  0:21:53.000* 2295
 0:22:04.000 -51.11 -51.11 -51.10  0:21:59.000* 2295
 0:22:10.000 -51.11 -51.11 -51.10  0:22:04.000* 2295
 0:22:14.000 -51.56 -51.11 -51.10  0:22:10.000* 2295
 0:22:19.000 -51.11 -51.11 -51.10  0:22:14.000* 2295
 0:22:25.000 -51.11 -51.11 -51.10  0:22:19.000* 2295
 0:22:30.000 -51.56 -51.11 -51.10  0:22:25.000* 2295
 0:22:36.000 -51.11 -51.11 -49.73  0:22:30.000* 2295
 0:22:41.000 -51.11 -50.65 -51.10  0:22:36.000* 2295
 0:22:47.000 -51.11 -51.11 -51.56  0:22:41.000* 2295
 0:22:52.000 -51.11 -51.11 -51.56  0:22:47.000* 2295
 0:22:57.000 -51.11 -51.11 -51.10  0:22:52.000* 2295
 0:23:03.000 -51.11 -51.11 -51.56  0:22:57.000* 2295
 0:23:08.000 -51.11 -51.11 -51.10  0:23:03.000* 2295
 0:23:14.000 -51.11 -50.65 -51.10  0:23:08.000* 2295
 0:23:19.000 -51.11 -50.65 -51.56  0:23:14.000* 2295
 0:23:25.000 -51.11 -51.11 -51.10  0:23:19.000* 2295
 0:23:30.000 -51.11 -50.65 -51.10  0:23:25.000* 2295
 0:23:35.000 -51.11 -51.11 -51.10  0:23:30.000* 2295
 0:23:41.000 -51.11 -51.11 -51.10  0:23:35.000* 2295
 0:23:46.000 -51.11 -50.65 -51.10  0:23:41.000* 2295
 0:23:52.000 -51.11 -50.65 -51.10  0:23:46.000* 2295
 0:23:57.000 -51.11 -51.11 -51.10  0:23:52.000* 2295
 0:24:03.000 -51.11 -51.11 -51.56  0:23:57.000* 2295
 0:24:08.000 -51.11 -51.11 -51.10  0:24:03.000* 2295
 0:24:13.000 -50.65 -51.11 -51.10  0:24:08.000* 2295
 0:24:19.000 -51.11 -50.65 -50.65  0:24:13.000* 2295
 0:24:24.000 -51.11 -51.11 -51.10  0:24:19.000* 2295
 0:24:30.000 -51.11 -51.56 -51.10  0:24:24.000* 2295
 0:24:35.000 -50.65 -50.65 -51.10  0:24:30.000* 2295
 0:24:41.000 -51.56 -51.11 -51.10  0:24:35.000* 2295
 0:24:46.000 -50.65 -51.11 -51.10  0:24:41.000* 2295
 0:24:51.000 -51.11 -51.11 -51.10  0:24:46.000* 2295
 0:24:57.000 -51.11 -51.11 -50.65  0:24:51.000* 2295
 0:25:02.000 -51.56 -50.65 -51.10  0:24:57.000* 2295
 0:25:08.000 -50.65 -51.11 -51.10  0:25:02.000* 2295
 0:25:13.000 -51.11 -51.56 -52.02  0:25:08.000* 2295
 0:25:19.000 -50.65 -51.11 -51.10  0:25:13.000* 2295
 0:25:24.000 -51.11 -50.65 -51.10  0:25:19.000* 2295
 0:25:30.000 -51.11 -51.11 -51.10  0:25:24.000* 2295
 0:25:35.000 -51.11 -50.65 -51.10  0:25:30.000* 2295
 0:25:40.000 -50.65 -50.65 -51.10  0:25:35.000* 2295
 0:25:46.000 -51.11 -51.11 -51.10  0:25:40.000* 2295
 0:25:51.000 -51.11 -51.11 -51.10  0:25:46.000* 2295
 0:25:57.000 -51.11 -51.11 -51.10  0:25:51.000* 2295
 0:26:02.000 -51.11 -51.11 -51.10  0:25:57.000* 2295
 0:26:08.000 -51.11 -51.11 -51.10  0:26:02.000* 2295
 0:26:13.000 -51.11 -51.11 -51.10  0:26:08.000* 2295
 0:26:18.000 -51.11 -51.56 -51.10  0:26:13.000* 2295
 0:26:24.000 -51.11 -51.11 -51.10  0:26:18.000* 2295
 0:26:29.000 -51.11 -51.11 -51.10  0:26:24.000* 2295
 0:26:35.000 -51.11 -51.11 -51.10  0:26:29.000* 2295
 0:26:40.000 -51.11 -51.11 -50.19  0:26:35.000* 2295
 0:26:47.000 -51.11 -51.11 -51.10  0:26:40.000* 2295
 0:26:52.000 -51.11 -51.11 -49.73  0:26:47.000* 2295
 0:26:57.000 -51.11 -51.11 -51.10  0:26:52.000* 2295
 0:27:03.000 -51.11 -51.11 -51.10  0:26:57.000* 2295
 0:27:08.000 -49.73 -51.11 -51.56  0:27:03.000* 2295
 0:27:14.000 -51.11 -50.65 -50.65  0:27:08.000* 2295
 0:27:19.000 -51.56 -51.11 -51.10  0:27:14.000* 2295
 0:27:25.000 -51.11 -51.11 -51.10  0:27:19.000* 2295
 0:27:30.000 -51.11 -51.11 -51.10  0:27:25.000* 2295
 0:27:35.000 -51.11 -51.56 -52.02  0:27:30.000* 2295
 0:27:41.000 -51.11 -51.11 -51.10  0:27:35.000* 2295
 0:27:46.000 -52.02 -51.11 -51.10  0:27:41.000* 2295
 0:27:52.000 -51.11 -51.11 -51.10  0:27:46.000* 2295
 0:27:57.000 -51.56 -51.11 -51.10  0:27:52.000* 2295
 0:28:03.000 -51.56 -51.11 -51.10  0:27:57.000* 2295
 0:28:08.000 -51.56 -51.11 -51.10  0:28:03.000* 2295
 0:28:12.000 -51.11 -51.11 -51.10  0:28:08.000* 2295
 0:28:18.000 -51.11 -51.11 -51.10  0:28:12.000* 2295
 0:28:23.000 -51.56 -51.11 -51.10  0:28:18.000* 2295
 0:28:29.000 -51.11 -51.56 -52.02  0:28:23.000* 2295
 0:28:34.000 -51.11 -50.65 -51.10  0:28:29.000* 2295
 0:28:40.000 -51.11 -50.65 -50.65  0:28:34.000* 2295
 0:28:45.000 -51.11 -51.11 -51.10  0:28:40.000* 2295
 0:28:50.000 -51.11 -51.11 -51.10  0:28:45.000* 2295
 0:28:56.000 -50.65 -50.65 -51.56  0:28:50.000* 2295
 0:29:01.000 -51.56 -51.11 -51.10  0:28:56.000* 2295
 0:29:07.000 -50.65 -51.11 -51.56  0:29:01.000* 2295
 0:29:12.000 -51.11 -50.65 -51.10  0:29:07.000* 2295
 0:29:18.000 -51.11 -50.65 -51.56  0:29:12.000* 2295
 0:29:23.000 -51.11 -51.11 -51.10  0:29:18.000* 2295
 0:29:28.000 -51.11 -51.11 -51.10  0:29:23.000* 2295
 0:29:34.000 -51.11 -51.11 -51.10  0:29:28.000* 2295
 0:29:39.000 -50.19 -51.11 -51.10  0:29:34.000* 2295
 0:29:45.000 -50.65 -51.11 -51.56  0:29:39.000* 2295
 0:29:50.000 -51.56 -51.11 -51.10  0:29:45.000* 2295
 0:29:56.000 -51.11 -50.65 -49.73  0:29:50.000* 2295
 0:30:01.000 -50.19 -51.11 -51.56  0:29:56.000* 2295
 0:30:06.000 -51.11 -51.11 -51.10  0:30:01.000* 2295
 0:30:12.000 -51.11 -51.11 -51.10  0:30:06.000* 2295
 0:30:17.000 -50.65 -51.56 -51.56  0:30:12.000* 2295
 0:30:23.000 -50.65 -51.11 -51.56  0:30:17.000* 2295
 0:30:28.000 -51.11 -51.11 -51.10  0:30:23.000* 2295
 0:30:34.000 -51.56 -51.11 -51.10  0:30:28.000* 2295
 0:30:39.000 -51.56 -51.11 -51.10  0:30:34.000* 2295
 0:30:44.000 -50.65 -51.11 -50.19  0:30:39.000* 2295
 0:30:50.000 -51.11 -51.11 -51.10  0:30:44.000* 2295
 0:30:55.000 -51.11 -51.11 -51.56  0:30:50.000* 2295
 0:31:01.000 -51.11 -51.11 -51.10  0:30:55.000* 2295
 0:31:06.000 -51.11 -51.11 -50.19  0:31:01.000* 2295
 0:31:12.000 -51.56 -51.11 -51.56  0:31:06.000* 2295
 0:31:17.000 -51.11 -49.73 -51.10  0:31:12.000* 2295
 0:31:22.000 -51.11 -51.11 -51.10  0:31:17.000* 2295
 0:31:28.000 -51.11 -50.65 -51.10  0:31:22.000* 2295
 0:31:33.000 -50.65 -51.11 -51.56  0:31:28.000* 2295
 0:31:39.000 -51.11 -51.11 -51.56  0:31:33.000* 2295
 0:31:44.000 -51.56 -51.11 -51.10  0:31:39.000* 2295
 0:31:50.000 -51.11 -51.11 -51.10  0:31:44.000* 2295
 0:31:55.000 -51.11 -50.65 -51.10  0:31:50.000* 2295
 0:32:00.000 -51.11 -51.11 -51.56  0:31:55.000* 2295
 0:32:06.000 -51.11 -51.11 -51.10  0:32:00.000* 2295
 0:32:11.000 -51.56 -51.11 -51.10  0:32:06.000* 2295
 0:32:17.000 -51.11 -50.65 -50.65  0:32:11.000* 2295
 0:32:22.000 -51.11 -50.65 -51.10  0:32:17.000* 2295
 0:32:28.000 -51.11 -50.65 -51.10  0:32:22.000* 2295
 0:32:33.000 -51.11 -50.65 -51.10  0:32:28.000* 2295
 0:32:38.000 -51.11 -51.11 -50.65  0:32:33.000* 2295
 0:32:44.000 -51.11 -51.11 -51.10  0:32:38.000* 2295
 0:32:49.000 -51.11 -51.11 -51.10  0:32:44.000* 2295
 0:32:55.000 -51.11 -51.11 -51.10  0:32:49.000* 2295
 0:33:00.000 -50.65 -51.11 -51.10  0:32:55.000* 2295
 0:33:06.000 -51.11 -50.65 -51.10  0:33:00.000* 2295
 0:33:11.000 -51.11 -51.11 -51.10  0:33:06.000* 2295
 0:33:16.000 -51.11 -51.11 -51.10  0:33:11.000* 2295
 0:33:22.000 -51.11 -50.65 -50.65  0:33:16.000* 2295
 0:33:27.000 -51.11 -51.11 -51.10  0:33:22.000* 2295
 0:33:33.000 -51.11 -51.11 -51.10  0:33:27.000* 2295
 0:33:37.000 -51.11 -51.11 -51.10  0:33:33.000* 2295
 0:33:43.000 -51.11 -51.11 -51.10  0:33:37.000* 2295
 0:33:48.000 -51.11 -51.11 -51.10  0:33:43.000* 2295
 0:33:53.000 -51.11 -51.11 -51.10  0:33:48.000* 2295
 0:34:00.000 -51.11 -50.65 -51.10  0:33:53.000* 2295
 0:34:05.000 -51.11 -51.11 -51.10  0:34:00.000* 2295
 0:34:11.000 -51.11 -50.65 -51.10  0:34:05.000* 2295
 0:34:16.000 -51.11 -51.11 -51.10  0:34:11.000* 2295
 0:34:22.000 -51.11 -50.65 -50.65  0:34:16.000* 2295
